Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value
"GM","Manure Management","9","Argentina","72316","Emissions (CO2eq) (Manure management)","1053","Chickens, broilers","2016","2016","gigagrams","60.453"
"GM","Manure Management","1","Armenia","5111","Stocks","1053","Chickens, broilers","2016","2016","Head","1210800"
"GM","Manure Management","1","Armenia","72386","Manure treated (N content)","1053","Chickens, broilers","2016","2016","kg","126881.5482"
"GM","Manure Management","1","Armenia","72246","Implied emission factor for CH4 (Manure management)","1053","Chickens, broilers","2016","2016","kg CH4/head","0.01"
"GM","Manure Management","1","Armenia","72296","Implied emission factor for N2O (Manure management)","1053","Chickens, broilers","2016","2016","kg N2O-N/kg N","0.005"
"GM","Manure Management","1","Armenia","72256","Emissions (CH4) (Manure management)","1053","Chickens, broilers","2016","2016","gigagrams","0.0121"
"GM","Manure Management","1","Armenia","72446","Emissions (CO2eq) from CH4 (Manure management)","1053","Chickens, broilers","2016","2016","gigagrams","0.2543"
"GM","Manure Management","1","Armenia","72346","Direct emissions (N2O) (Manure management)","1053","Chickens, broilers","2016","2016","gigagrams","0.001"
"GM","Manure Management","1","Armenia","72366","Indirect emissions (N2O) (Manure management)","1053","Chickens, broilers","2016","2016","gigagrams","0"
"GM","Manure Management","1","Armenia","72306","Emissions (N2O) (Manure management)","1053","Chickens, broilers","2016","2016","gigagrams","0.001"
"GM","Manure Management","1","Armenia","72356","Direct emissions (CO2eq) (Manure management)","1053","Chickens, broilers","2016","2016","gigagrams","0.309"
"GM","Manure Management","1","Armenia","72376","Indirect emissions (CO2eq) (Manure management)","1053","Chickens, broilers","2016","2016","gigagrams","0"
"GM","Manure Management","1","Armenia","72436","Emissions (CO2eq) from N2O (Manure management)","1053","Chickens, broilers","2016","2016","gigagrams","0.309"
"GM","Manure Management","1","Armenia","72316","Emissions (CO2eq) (Manure management)","1053","Chickens, broilers","2016","2016","gigagrams","0.5633"
"GM","Manure Management","10","Australia","5111","Stocks","1053","Chickens, broilers","2016","2016","Head","74424000"
"GM","Manure Management","10","Australia","72386","Manure treated (N content)","1053","Chickens, broilers","2016","2016","kg","26086319.028"
"GM","Manure Management","10","Australia","72246","Implied emission factor for CH4 (Manure management)","1053","Chickens, broilers","2016","2016","kg CH4/head","0.02"
"GM","Manure Management","10","Australia","72296","Implied emission factor for N2O (Manure management)","1053","Chickens, broilers","2016","2016","kg N2O-N/kg N","0.005"
"GM","Manure Management","10","Australia","72256","Emissions (CH4) (Manure management)","1053","Chickens, broilers","2016","2016","gigagrams","1.4885"
"GM","Manure Management","10","Australia","72446","Emissions (CO2eq) from CH4 (Manure management)","1053","Chickens, broilers","2016","2016","gigagrams","31.2581"
